"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"1","0.000000","192.168.73.128","192.168.73.1","UDP","20001","774","","10001","","","20001  >  10001 Len=732"
"2","0.002428","192.168.73.128","192.168.73.1","UDP","20000","774","","10000","","0.002428000","20000  >  10000 Len=732"
"3","0.009317","192.168.73.128","192.168.73.1","UDP","20001","774","","10001","","0.006889000","20001  >  10001 Len=732"
"4","0.424464","192.168.48.133","192.168.48.1","DNS","44118","74","","53","","0.415147000","Standard query 0xe732 A ntp.ubuntu.com"
"5","0.424626","192.168.48.133","192.168.48.1","DNS","38902","86","","53","","0.000162000","Standard query 0x5f14 AAAA ntp.ubuntu.com.localdomain"
"6","0.424815","192.168.48.133","192.168.48.1","TCP","56474","74","0x0002","53","0","0.000189000","56474  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388580353 TSecr=0 WS=128"
"7","0.701655","192.168.48.130","192.168.48.1","DNS","39805","81","","53","","0.276840000","Standard query 0xb73c A 3.debian.pool.ntp.org"
"8","0.701741","192.168.48.130","192.168.48.1","DNS","39805","81","","53","","0.000086000","Standard query 0x303b AAAA 3.debian.pool.ntp.org"
"9","0.846349","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.144608000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"10","0.850970","192.168.73.128","192.168.73.1","UDP","20001","561","","10001","","0.004621000","20001  >  10001 Len=519"
"11","1.091164","192.168.73.128","192.168.73.1","UDP","20001","480","","10001","","0.240194000","20001  >  10001 Len=438"
"12","1.442722","192.168.48.133","192.168.48.1","TCP","56474","74","0x0002","53","0","0.351558000","[TCP Retransmission] 56474  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388581371 TSecr=0 WS=128"
"13","3.456574","192.168.48.133","192.168.48.1","TCP","56474","74","0x0002","53","0","2.013852000","[TCP Retransmission] 56474  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388583385 TSecr=0 WS=128"
"14","5.632614","VMware_2f:25:17","VMware_c0:00:02","ARP","","60","","","","2.176040000","Who has 192.168.48.1? Tell 192.168.48.133"
"15","5.706926","192.168.48.130","192.168.48.1","DNS","59680","93","","53","","0.074312000","Standard query 0xd1e5 A 3.debian.pool.ntp.org.localdomain"
"16","5.707013","192.168.48.130","192.168.48.1","DNS","59680","93","","53","","0.000087000","Standard query 0xa1e1 AAAA 3.debian.pool.ntp.org.localdomain"
"17","7.680702","192.168.48.133","192.168.48.1","TCP","56474","74","0x0002","53","0","1.973689000","[TCP Retransmission] 56474  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388587609 TSecr=0 WS=128"
"18","10.436308","192.168.48.133","192.168.48.1","TCP","39966","74","0x0002","53","1","2.755606000","39966  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388590364 TSecr=0 WS=128"
"19","10.710068","192.168.48.130","192.168.48.1","DNS","59680","93","","53","","0.273760000","Standard query 0xd1e5 A 3.debian.pool.ntp.org.localdomain"
"20","10.710173","192.168.48.130","192.168.48.1","DNS","59680","93","","53","","0.000105000","Standard query 0xa1e1 AAAA 3.debian.pool.ntp.org.localdomain"
"21","10.911558","VMware_72:69:7d","VMware_c0:00:02","ARP","","60","","","","0.201385000","Who has 192.168.48.1? Tell 192.168.48.130"
"22","11.456783","192.168.48.133","192.168.48.1","TCP","39966","74","0x0002","53","1","0.545225000","[TCP Retransmission] 39966  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388591385 TSecr=0 WS=128"
"23","13.262971","192.168.73.128","192.168.73.1","UDP","20000","774","","10000","","1.806188000","20000  >  10000 Len=732"
"24","13.265733","192.168.73.128","192.168.73.1","UDP","20001","774","","10001","","0.002762000","20001  >  10001 Len=732"
"25","13.295843","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.030110000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"26","13.472409","192.168.48.133","192.168.48.1","TCP","39966","74","0x0002","53","1","0.176566000","[TCP Retransmission] 39966  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388593401 TSecr=0 WS=128"
"27","15.413598","fe80::20c:29ff:fe8b:742b","ff02::2","ICMPv6","","70","","","","1.941189000","Router Solicitation from 00:0c:29:8b:74:2b"
"28","15.716878","192.168.48.130","192.168.48.1","DNS","47346","81","","53","","0.303280000","Standard query 0x538a A 0.debian.pool.ntp.org"
"29","15.717046","192.168.48.130","192.168.48.1","DNS","47346","81","","53","","0.000168000","Standard query 0x1489 AAAA 0.debian.pool.ntp.org"
"30","17.664794","192.168.48.133","192.168.48.1","TCP","39966","74","0x0002","53","1","1.947748000","[TCP Retransmission] 39966  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388597593 TSecr=0 WS=128"
"31","20.447155","192.168.48.133","192.168.48.1","TCP","43068","74","0x0002","53","2","2.782361000","43068  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388600375 TSecr=0 WS=128"
"32","20.721404","192.168.48.130","192.168.48.1","DNS","47346","81","","53","","0.274249000","Standard query 0x538a A 0.debian.pool.ntp.org"
"33","20.721485","192.168.48.130","192.168.48.1","DNS","47346","81","","53","","0.000081000","Standard query 0x1489 AAAA 0.debian.pool.ntp.org"
"34","21.472660","192.168.48.133","192.168.48.1","TCP","43068","74","0x0002","53","2","0.751175000","[TCP Retransmission] 43068  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388601401 TSecr=0 WS=128"
"35","23.488354","192.168.48.133","192.168.48.1","TCP","43068","74","0x0002","53","2","2.015694000","[TCP Retransmission] 43068  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388603417 TSecr=0 WS=128"
"36","23.882711","192.168.73.128","192.168.73.1","UDP","20001","603","","10001","","0.394357000","20001  >  10001 Len=561"
"37","23.885177","192.168.73.128","192.168.73.1","UDP","20000","603","","10000","","0.002466000","20000  >  10000 Len=561"
"38","23.890149","192.168.73.128","192.168.73.1","UDP","20000","603","","10000","","0.004972000","20000  >  10000 Len=561"
"39","23.892369","192.168.73.128","192.168.73.1","UDP","20001","603","","10001","","0.002220000","20001  >  10001 Len=561"
"40","23.897747","192.168.73.128","192.168.73.1","UDP","20000","603","","10000","","0.005378000","20000  >  10000 Len=561"
"41","23.900249","192.168.73.128","192.168.73.1","UDP","20001","603","","10001","","0.002502000","20001  >  10001 Len=561"
"42","23.904006","192.168.73.128","192.168.73.1","UDP","20000","603","","10000","","0.003757000","20000  >  10000 Len=561"
"43","23.908098","192.168.73.128","192.168.73.1","UDP","20001","603","","10001","","0.004092000","20001  >  10001 Len=561"
"44","23.913098","192.168.73.128","192.168.73.1","UDP","20000","603","","10000","","0.005000000","20000  >  10000 Len=561"
"45","23.915396","192.168.73.128","192.168.73.1","UDP","20001","603","","10001","","0.002298000","20001  >  10001 Len=561"
"46","23.920242","192.168.73.128","192.168.73.1","UDP","20000","123","","10000","","0.004846000","20000  >  10000 Len=81"
"47","23.922699","192.168.73.128","192.168.73.1","UDP","20001","123","","10001","","0.002457000","20001  >  10001 Len=81"
"48","23.928071","192.168.73.128","192.168.73.1","UDP","20000","123","","10000","","0.005372000","20000  >  10000 Len=81"
"49","23.930680","192.168.73.128","192.168.73.1","UDP","20001","123","","10001","","0.002609000","20001  >  10001 Len=81"
"50","23.935935","192.168.73.128","192.168.73.1","UDP","20000","477","","10000","","0.005255000","20000  >  10000 Len=435"
"51","24.111159","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.175224000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"52","24.115904","192.168.73.128","192.168.73.1","UDP","20000","648","","10000","","0.004745000","20000  >  10000 Len=606"
"53","24.241599","192.168.73.128","192.168.73.1","UDP","20000","426","","10000","","0.125695000","20000  >  10000 Len=384"
"54","25.726919","192.168.48.130","192.168.48.1","DNS","37006","93","","53","","1.485320000","Standard query 0x56f5 A 0.debian.pool.ntp.org.localdomain"
"55","25.727022","192.168.48.130","192.168.48.1","DNS","37006","93","","53","","0.000103000","Standard query 0xeffd AAAA 0.debian.pool.ntp.org.localdomain"
"56","27.648690","192.168.48.133","192.168.48.1","TCP","43068","74","0x0002","53","2","1.921668000","[TCP Retransmission] 43068  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388607577 TSecr=0 WS=128"
"57","30.454984","192.168.48.133","192.168.48.1","TCP","56850","74","0x0002","53","3","2.806294000","56850  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388610383 TSecr=0 WS=128"
"58","30.732655","192.168.48.130","192.168.48.1","DNS","37006","93","","53","","0.277671000","Standard query 0x56f5 A 0.debian.pool.ntp.org.localdomain"
"59","30.732760","192.168.48.130","192.168.48.1","DNS","37006","93","","53","","0.000105000","Standard query 0xeffd AAAA 0.debian.pool.ntp.org.localdomain"
"60","31.456253","192.168.48.133","192.168.48.1","TCP","56850","74","0x0002","53","3","0.723493000","[TCP Retransmission] 56850  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388611385 TSecr=0 WS=128"
"61","32.089140","192.168.48.130","192.168.48.133","TCP","40574","74","0x0002","22","4","0.632887000","40574  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4265911203 TSecr=0 WS=256"
"62","32.089305","192.168.48.133","192.168.48.130","TCP","22","74","0x0012","40574","4","0.000165000","22  >  40574 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359523480 TSecr=4265911203 WS=128"
"63","32.089437","192.168.48.130","192.168.48.133","TCP","40574","66","0x0010","22","4","0.000132000","40574  >  22 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4265911204 TSecr=359523480"
"64","32.089869","192.168.48.130","192.168.48.133","SSHv2","40574","89","0x0018","22","4","0.000432000","Client: Protocol (SSH-2.0-libssh_0.12.0)"
"65","32.089968","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40574","4","0.000099000","22  >  40574 [ACK] Seq=1 Ack=24 Win=65152 Len=0 TSval=359523480 TSecr=4265911204"
"66","32.102386","192.168.48.133","192.168.48.130","SSHv2","22","108","0x0018","40574","4","0.012418000","Server: Protocol (SSH-2.0-OpenSSH_8.2p1 Ubuntu-4ubuntu0.13)"
"67","32.102493","192.168.48.130","192.168.48.133","TCP","40574","66","0x0010","22","4","0.000107000","40574  >  22 [ACK] Seq=24 Ack=43 Win=64256 Len=0 TSval=4265911217 TSecr=359523493"
"68","32.104186","192.168.48.133","192.168.48.130","SSHv2","22","1146","0x0018","40574","4","0.001693000","Server: Key Exchange Init"
"69","32.104323","192.168.48.130","192.168.48.133","TCP","40574","66","0x0010","22","4","0.000137000","40574  >  22 [ACK] Seq=24 Ack=1123 Win=64000 Len=0 TSval=4265911218 TSecr=359523495"
"70","32.114391","192.168.48.130","192.168.48.133","SSHv2","40574","1042","0x0018","22","4","0.010068000","Client: Key Exchange Init"
"71","32.114533","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40574","4","0.000142000","22  >  40574 [ACK] Seq=1123 Ack=1000 Win=64256 Len=0 TSval=359523505 TSecr=4265911228"
"72","32.114958","192.168.48.130","192.168.48.133","SSHv2","40574","114","0x0018","22","4","0.000425000","Client: Elliptic Curve Diffie-Hellman Key Exchange Init"
"73","32.115084","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40574","4","0.000126000","22  >  40574 [ACK] Seq=1123 Ack=1048 Win=64256 Len=0 TSval=359523505 TSecr=4265911229"
"74","32.122347","192.168.48.133","192.168.48.130","SSHv2","22","502","0x0018","40574","4","0.007263000","Server: Elliptic Curve Diffie-Hellman Key Exchange Reply, New Keys, Encrypted packet (len=228)"
"75","32.124644","192.168.48.130","192.168.48.133","SSHv2","40574","82","0x0018","22","4","0.002297000","Client: New Keys"
"76","32.124739","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40574","4","0.000095000","22  >  40574 [ACK] Seq=1559 Ack=1064 Win=64256 Len=0 TSval=359523515 TSecr=4265911239"
"77","32.131931","192.168.48.130","192.168.48.133","SSHv2","40574","110","0x0018","22","4","0.007192000","Client: Encrypted packet (len=44)"
"78","32.132058","192.168.48.133","192.168.48.130","TCP","22","66","0x0010","40574","4","0.000127000","22  >  40574 [ACK] Seq=1559 Ack=1108 Win=64256 Len=0 TSval=359523523 TSecr=4265911246"
"79","32.132157","192.168.48.133","192.168.48.130","SSHv2","22","110","0x0018","40574","4","0.000099000","Server: Encrypted packet (len=44)"
