"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"1","0.000000","192.168.48.130","192.168.48.1","DNS","49735","81","","53","","","Standard query 0xcdc6 A 2.debian.pool.ntp.org"
"2","0.000110","192.168.48.130","192.168.48.1","DNS","49735","81","","53","","0.000110000","Standard query 0x39cb AAAA 2.debian.pool.ntp.org"
"3","1.914932","192.168.48.133","192.168.48.1","TCP","42108","74","0x0002","53","0","1.914822000","42108  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388797785 TSecr=0 WS=128"
"4","2.480405","192.168.73.128","192.168.73.1","UDP","20001","662","","10001","","0.565473000","20001  >  10001 Len=620"
"5","2.482904","192.168.73.128","192.168.73.1","UDP","20001","186","","10001","","0.002499000","20001  >  10001 Len=144"
"6","2.488486","192.168.73.128","192.168.73.1","UDP","20000","186","","10000","","0.005582000","20000  >  10000 Len=144"
"7","2.490922","192.168.73.128","192.168.73.1","UDP","20000","186","","10000","","0.002436000","20000  >  10000 Len=144"
"8","2.496428","192.168.73.128","192.168.73.1","UDP","20001","186","","10001","","0.005506000","20001  >  10001 Len=144"
"9","2.499011","192.168.73.128","192.168.73.1","UDP","20000","662","","10000","","0.002583000","20000  >  10000 Len=620"
"10","2.504359","192.168.73.128","192.168.73.1","UDP","20001","662","","10001","","0.005348000","20001  >  10001 Len=620"
"11","3.338948","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.834589000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"12","3.343374","192.168.73.128","192.168.73.1","UDP","20000","410","","10000","","0.004426000","20000  >  10000 Len=368"
"13","3.345765","192.168.73.128","192.168.73.1","UDP","20001","410","","10001","","0.002391000","20001  >  10001 Len=368"
"14","3.456818","192.168.73.128","192.168.73.1","UDP","20000","533","","10000","","0.111053000","20000  >  10000 Len=491"
"15","4.686681","192.168.48.133","192.168.48.1","TCP","42670","74","0x0002","53","1","1.229863000","42670  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388800556 TSecr=0 WS=128"
"16","5.005523","192.168.48.130","192.168.48.1","DNS","49735","81","","53","","0.318842000","Standard query 0xcdc6 A 2.debian.pool.ntp.org"
"17","5.005609","192.168.48.130","192.168.48.1","DNS","49735","81","","53","","0.000086000","Standard query 0x39cb AAAA 2.debian.pool.ntp.org"
"18","5.146769","VMware_72:69:7d","VMware_c0:00:02","ARP","","60","","","","0.141160000","Who has 192.168.48.1? Tell 192.168.48.130"
"19","5.690758","192.168.48.133","192.168.48.1","TCP","42670","74","0x0002","53","1","0.543989000","[TCP Retransmission] 42670  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388801561 TSecr=0 WS=128"
"20","7.707096","192.168.48.133","192.168.48.1","TCP","42670","74","0x0002","53","1","2.016338000","[TCP Retransmission] 42670  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388803577 TSecr=0 WS=128"
"21","10.007346","192.168.48.130","192.168.48.1","DNS","48822","93","","53","","2.300250000","Standard query 0xf9b2 A 2.debian.pool.ntp.org.localdomain"
"22","10.007456","192.168.48.130","192.168.48.1","DNS","48822","93","","53","","0.000110000","Standard query 0xdfb6 AAAA 2.debian.pool.ntp.org.localdomain"
"23","11.898808","192.168.48.133","192.168.48.1","TCP","42670","74","0x0002","53","1","1.891352000","[TCP Retransmission] 42670  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388807769 TSecr=0 WS=128"
"24","14.693404","192.168.48.133","192.168.48.1","TCP","37946","74","0x0002","53","2","2.794596000","37946  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388810563 TSecr=0 WS=128"
"25","14.737545","192.168.73.128","192.168.73.1","UDP","20001","872","","10001","","0.044141000","20001  >  10001 Len=830"
"26","14.800394","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.062849000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
