protocol,source_port,length,tcp_flags,dst_port,delta_time,info,label
20,48714.0,74,0,53.0,0.0,21429,0
4,49170.0,81,10,53.0,0.03271,37619,0
4,49170.0,81,10,53.0,8.2e-05,37431,0
20,48714.0,74,0,53.0,0.998671,40748,0
20,48714.0,74,0,53.0,2.0162,40749,0
4,54557.0,93,10,53.0,1.989617,38190,0
4,54557.0,93,10,53.0,0.000174,38135,0
20,48714.0,74,0,53.0,2.169942,40750,0
20,35250.0,74,0,53.0,2.800393,9139,0
4,54557.0,93,10,53.0,0.034919,38190,0
4,54557.0,93,10,53.0,0.000109,38135,0
24,20001.0,998,10,10001.0,0.504894,2543,0
24,20000.0,998,10,10000.0,0.00206,2349,0
24,20001.0,998,10,10001.0,0.005351,2543,0
24,20000.0,998,10,10000.0,0.002516,2349,0
24,20001.0,998,10,10001.0,0.004938,2543,0
19,0.0,60,10,0.0,0.020031,36225,0
24,20001.0,998,10,10001.0,0.004364,2543,0
24,20001.0,998,10,10001.0,0.021341,2543,0
20,35250.0,74,0,53.0,0.407063,40269,0
20,35250.0,74,0,53.0,2.015725,40270,0
20,49725.0,66,0,21.0,1.092635,22440,0
20,21.0,66,4,49725.0,0.000342,3044,0
20,49725.0,54,2,21.0,0.000153,22432,0
6,21.0,74,6,49725.0,0.018257,37291,0
6,49725.0,68,6,21.0,0.00335,37084,0
20,21.0,60,2,49725.0,0.000239,3039,0
6,21.0,80,6,49725.0,0.000171,37283,0
20,49725.0,54,2,21.0,0.054666,22435,0
4,45732.0,81,10,53.0,0.848884,38011,0
4,45732.0,81,10,53.0,0.000108,37631,0
0,0.0,60,10,0.0,0.227557,38320,0
20,35250.0,74,0,53.0,1.913877,40271,0
6,49725.0,66,6,21.0,1.306515,37273,0
20,21.0,60,2,49725.0,0.000194,3041,0
6,21.0,88,6,49725.0,0.000112,37300,0
20,49725.0,54,2,21.0,0.043663,22436,0
24,20000.0,396,10,10000.0,1.277813,2226,0
24,20001.0,396,10,10001.0,0.002111,2419,0
24,20000.0,242,10,10000.0,0.005189,2192,0
24,20001.0,242,10,10001.0,0.002296,2389,0
24,20000.0,242,10,10000.0,0.005303,2192,0
24,20001.0,242,10,10001.0,0.002246,2389,0
24,20000.0,242,10,10000.0,0.004899,2192,0
20,48032.0,74,0,53.0,0.171186,21195,0
4,45732.0,81,10,53.0,0.042778,38011,0
4,45732.0,81,10,53.0,0.000107,37631,0
20,48032.0,74,0,53.0,0.975468,40718,0
6,49725.0,70,6,21.0,0.642995,37108,0
20,21.0,60,2,49725.0,0.00014,3042,0
6,21.0,77,6,49725.0,0.024189,37299,0
20,49725.0,54,2,21.0,0.05288,22437,0
24,20001.0,351,10,10001.0,0.143165,2406,0
24,20000.0,351,10,10000.0,0.003956,2212,0
24,20000.0,351,10,10000.0,0.004752,2212,0
24,20001.0,351,10,10001.0,0.002452,2406,0
24,20000.0,351,10,10000.0,0.00482,2212,0
24,20001.0,351,10,10001.0,0.002334,2406,0
24,20000.0,351,10,10000.0,0.00494,2212,0
24,20001.0,351,10,10001.0,0.002346,2406,0
19,0.0,60,10,0.0,0.409742,36225,0
24,20000.0,326,10,10000.0,0.00295,2206,0
24,20001.0,326,10,10001.0,0.002412,2402,0
24,20000.0,326,10,10000.0,0.005225,2206,0
24,20000.0,452,10,10000.0,0.496066,2238,0
20,48032.0,74,0,53.0,0.210403,40719,0
6,49725.0,82,6,21.0,1.714856,37262,0
6,21.0,105,6,49725.0,0.00035,37284,0
6,49725.0,60,6,21.0,0.00859,37082,0
20,20.0,74,0,49726.0,0.000529,2148,0
20,49726.0,66,4,20.0,0.00021,22443,0
20,20.0,60,2,49726.0,0.000111,2145,0
6,21.0,93,6,49725.0,0.000159,37281,0
7,20.0,382,6,49726.0,0.000164,36604,0
20,20.0,60,3,49726.0,7.1e-05,2147,0
20,49726.0,54,2,20.0,0.000186,22441,0
6,21.0,78,6,49725.0,0.000122,37293,0
20,49725.0,54,2,21.0,0.000103,22438,0
20,49726.0,54,3,20.0,0.022057,22442,0
20,20.0,60,2,49726.0,0.000119,2146,0
4,59126.0,93,10,53.0,0.266754,38283,0
4,59126.0,93,10,53.0,0.000115,37547,0
20,48032.0,74,0,53.0,2.113931,40720,0
20,39916.0,74,0,53.0,2.848452,16960,0
4,59126.0,93,10,53.0,0.043177,38283,0
4,59126.0,93,10,53.0,0.000174,37547,0
20,47134.0,78,0,53.0,0.709972,20594,0
20,39916.0,74,0,53.0,0.26994,40431,0
20,47134.0,74,0,53.0,0.751213,40688,0
20,39916.0,74,0,53.0,1.264445,40432,0
20,47134.0,74,0,53.0,0.754378,40689,0
24,20000.0,632,10,10000.0,0.391739,2285,0
24,20001.0,632,10,10001.0,0.00219,2482,0
20,80.0,141,6,15006.0,0.006913,28831,0
19,0.0,60,10,0.0,0.160096,36225,0
24,20001.0,639,10,10001.0,0.003856,2483,0
