"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"1","0.000000","192.168.48.133","192.168.48.1","TCP","48714","74","0x0002","53","0","","48714  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386958897 TSecr=0 WS=128"
"2","0.032710","192.168.48.130","192.168.48.1","DNS","49170","81","","53","","0.032710000","Standard query 0x3aed A 2.debian.pool.ntp.org"
"3","0.032792","192.168.48.130","192.168.48.1","DNS","49170","81","","53","","0.000082000","Standard query 0x09e8 AAAA 2.debian.pool.ntp.org"
"4","1.031463","192.168.48.133","192.168.48.1","TCP","48714","74","0x0002","53","0","0.998671000","[TCP Retransmission] 48714  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386959929 TSecr=0 WS=128"
"5","3.047663","192.168.48.133","192.168.48.1","TCP","48714","74","0x0002","53","0","2.016200000","[TCP Retransmission] 48714  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386961945 TSecr=0 WS=128"
"6","5.037280","192.168.48.130","192.168.48.1","DNS","54557","93","","53","","1.989617000","Standard query 0xde47 A 2.debian.pool.ntp.org.localdomain"
"7","5.037454","192.168.48.130","192.168.48.1","DNS","54557","93","","53","","0.000174000","Standard query 0xce4d AAAA 2.debian.pool.ntp.org.localdomain"
"8","7.207396","192.168.48.133","192.168.48.1","TCP","48714","74","0x0002","53","0","2.169942000","[TCP Retransmission] 48714  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386966105 TSecr=0 WS=128"
"9","10.007789","192.168.48.133","192.168.48.1","TCP","35250","74","0x0002","53","1","2.800393000","35250  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386968905 TSecr=0 WS=128"
"10","10.042708","192.168.48.130","192.168.48.1","DNS","54557","93","","53","","0.034919000","Standard query 0xde47 A 2.debian.pool.ntp.org.localdomain"
"11","10.042817","192.168.48.130","192.168.48.1","DNS","54557","93","","53","","0.000109000","Standard query 0xce4d AAAA 2.debian.pool.ntp.org.localdomain"
"12","10.547711","192.168.73.128","192.168.73.1","UDP","20001","998","","10001","","0.504894000","20001  >  10001 Len=956"
"13","10.549771","192.168.73.128","192.168.73.1","UDP","20000","998","","10000","","0.002060000","20000  >  10000 Len=956"
"14","10.555122","192.168.73.128","192.168.73.1","UDP","20001","998","","10001","","0.005351000","20001  >  10001 Len=956"
"15","10.557638","192.168.73.128","192.168.73.1","UDP","20000","998","","10000","","0.002516000","20000  >  10000 Len=956"
"16","10.562576","192.168.73.128","192.168.73.1","UDP","20001","998","","10001","","0.004938000","20001  >  10001 Len=956"
"17","10.582607","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.020031000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"18","10.586971","192.168.73.128","192.168.73.1","UDP","20001","998","","10001","","0.004364000","20001  >  10001 Len=956"
"19","10.608312","192.168.73.128","192.168.73.1","UDP","20001","998","","10001","","0.021341000","20001  >  10001 Len=956"
"20","11.015375","192.168.48.133","192.168.48.1","TCP","35250","74","0x0002","53","1","0.407063000","[TCP Retransmission] 35250  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386969913 TSecr=0 WS=128"
"21","13.031100","192.168.48.133","192.168.48.1","TCP","35250","74","0x0002","53","1","2.015725000","[TCP Retransmission] 35250  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386971929 TSecr=0 WS=128"
"22","14.123735","192.168.48.132","192.168.48.133","TCP","49725","66","0x0002","21","2","1.092635000","49725  >  21 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=1 SACK_PERM"
"23","14.124077","192.168.48.133","192.168.48.132","TCP","21","66","0x0012","49725","2","0.000342000","21  >  49725 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"24","14.124230","192.168.48.132","192.168.48.133","TCP","49725","54","0x0010","21","2","0.000153000","49725  >  21 [ACK] Seq=1 Ack=1 Win=8192 Len=0"
"25","14.142487","192.168.48.133","192.168.48.132","FTP","21","74","0x0018","49725","2","0.018257000","Response: 220 (vsFTPd 3.0.5)"
"26","14.145837","192.168.48.132","192.168.48.133","FTP","49725","68","0x0018","21","2","0.003350000","Request: OPTS UTF8 ON"
"27","14.146076","192.168.48.133","192.168.48.132","TCP","21","60","0x0010","49725","2","0.000239000","21  >  49725 [ACK] Seq=21 Ack=15 Win=64256 Len=0"
"28","14.146247","192.168.48.133","192.168.48.132","FTP","21","80","0x0018","49725","2","0.000171000","Response: 200 Always in UTF8 mode."
"29","14.200913","192.168.48.132","192.168.48.133","TCP","49725","54","0x0010","21","2","0.054666000","49725  >  21 [ACK] Seq=15 Ack=47 Win=8146 Len=0"
"30","15.049797","192.168.48.130","192.168.48.1","DNS","45732","81","","53","","0.848884000","Standard query 0xacd0 A 3.debian.pool.ntp.org"
"31","15.049905","192.168.48.130","192.168.48.1","DNS","45732","81","","53","","0.000108000","Standard query 0x3edd AAAA 3.debian.pool.ntp.org"
"32","15.277462","VMware_72:69:7d","VMware_c0:00:02","ARP","","60","","","","0.227557000","Who has 192.168.48.1? Tell 192.168.48.130"
"33","17.191339","192.168.48.133","192.168.48.1","TCP","35250","74","0x0002","53","1","1.913877000","[TCP Retransmission] 35250  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386976089 TSecr=0 WS=128"
"34","18.497854","192.168.48.132","192.168.48.133","FTP","49725","66","0x0018","21","2","1.306515000","Request: USER imran"
"35","18.498048","192.168.48.133","192.168.48.132","TCP","21","60","0x0010","49725","2","0.000194000","21  >  49725 [ACK] Seq=47 Ack=27 Win=64256 Len=0"
"36","18.498160","192.168.48.133","192.168.48.132","FTP","21","88","0x0018","49725","2","0.000112000","Response: 331 Please specify the password."
"37","18.541823","192.168.48.132","192.168.48.133","TCP","49725","54","0x0010","21","2","0.043663000","49725  >  21 [ACK] Seq=27 Ack=81 Win=8112 Len=0"
"38","19.819636","192.168.73.128","192.168.73.1","UDP","20000","396","","10000","","1.277813000","20000  >  10000 Len=354"
"39","19.821747","192.168.73.128","192.168.73.1","UDP","20001","396","","10001","","0.002111000","20001  >  10001 Len=354"
"40","19.826936","192.168.73.128","192.168.73.1","UDP","20000","242","","10000","","0.005189000","20000  >  10000 Len=200"
"41","19.829232","192.168.73.128","192.168.73.1","UDP","20001","242","","10001","","0.002296000","20001  >  10001 Len=200"
"42","19.834535","192.168.73.128","192.168.73.1","UDP","20000","242","","10000","","0.005303000","20000  >  10000 Len=200"
"43","19.836781","192.168.73.128","192.168.73.1","UDP","20001","242","","10001","","0.002246000","20001  >  10001 Len=200"
"44","19.841680","192.168.73.128","192.168.73.1","UDP","20000","242","","10000","","0.004899000","20000  >  10000 Len=200"
"45","20.012866","192.168.48.133","192.168.48.1","TCP","48032","74","0x0002","53","3","0.171186000","48032  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386978910 TSecr=0 WS=128"
"46","20.055644","192.168.48.130","192.168.48.1","DNS","45732","81","","53","","0.042778000","Standard query 0xacd0 A 3.debian.pool.ntp.org"
"47","20.055751","192.168.48.130","192.168.48.1","DNS","45732","81","","53","","0.000107000","Standard query 0x3edd AAAA 3.debian.pool.ntp.org"
"48","21.031219","192.168.48.133","192.168.48.1","TCP","48032","74","0x0002","53","3","0.975468000","[TCP Retransmission] 48032  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386979929 TSecr=0 WS=128"
"49","21.674214","192.168.48.132","192.168.48.133","FTP","49725","70","0x0018","21","2","0.642995000","Request: PASS Imran@123"
"50","21.674354","192.168.48.133","192.168.48.132","TCP","21","60","0x0010","49725","2","0.000140000","21  >  49725 [ACK] Seq=81 Ack=43 Win=64256 Len=0"
"51","21.698543","192.168.48.133","192.168.48.132","FTP","21","77","0x0018","49725","2","0.024189000","Response: 230 Login successful."
"52","21.751423","192.168.48.132","192.168.48.133","TCP","49725","54","0x0010","21","2","0.052880000","49725  >  21 [ACK] Seq=43 Ack=104 Win=8089 Len=0"
"53","21.894588","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.143165000","20001  >  10001 Len=309"
"54","21.898544","192.168.73.128","192.168.73.1","UDP","20000","351","","10000","","0.003956000","20000  >  10000 Len=309"
"55","21.903296","192.168.73.128","192.168.73.1","UDP","20000","351","","10000","","0.004752000","20000  >  10000 Len=309"
"56","21.905748","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.002452000","20001  >  10001 Len=309"
"57","21.910568","192.168.73.128","192.168.73.1","UDP","20000","351","","10000","","0.004820000","20000  >  10000 Len=309"
"58","21.912902","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.002334000","20001  >  10001 Len=309"
"59","21.917842","192.168.73.128","192.168.73.1","UDP","20000","351","","10000","","0.004940000","20000  >  10000 Len=309"
"60","21.920188","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.002346000","20001  >  10001 Len=309"
"61","22.329930","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.409742000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"62","22.332880","192.168.73.128","192.168.73.1","UDP","20000","326","","10000","","0.002950000","20000  >  10000 Len=284"
"63","22.335292","192.168.73.128","192.168.73.1","UDP","20001","326","","10001","","0.002412000","20001  >  10001 Len=284"
"64","22.340517","192.168.73.128","192.168.73.1","UDP","20000","326","","10000","","0.005225000","20000  >  10000 Len=284"
"65","22.836583","192.168.73.128","192.168.73.1","UDP","20000","452","","10000","","0.496066000","20000  >  10000 Len=410"
