"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"1","0.000000","VMware_43:e1:33","Broadcast","ARP","","42","","","","","Who has 192.168.48.131? Tell 192.168.48.132"
"2","0.251284","192.168.48.133","192.168.48.1","TCP","58958","74","0x0002","53","0","0.251284000","58958  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3381962297 TSecr=0 WS=128"
"3","0.265216","192.168.48.132","192.168.48.1","DNS","55625","82","","53","","0.013932000","Standard query 0x1274 A iecvlist.microsoft.com"
"4","0.325087","VMware_8b:74:2b","VMware_c0:00:02","ARP","","60","","","","0.059871000","Who has 192.168.48.1? Tell 192.168.48.128"
"5","0.499303","VMware_43:e1:33","VMware_c0:00:02","ARP","","42","","","","0.174216000","Who has 192.168.48.1? Tell 192.168.48.132"
"6","1.264831","192.168.48.132","192.168.48.1","DNS","55625","82","","53","","0.765528000","Standard query 0x1274 A iecvlist.microsoft.com"
"7","2.116678","192.168.48.130","192.168.48.1","DNS","39929","93","","53","","0.851847000","Standard query 0xf29a A 0.debian.pool.ntp.org.localdomain"
"8","2.116789","192.168.48.130","192.168.48.1","DNS","39929","93","","53","","0.000111000","Standard query 0xb994 AAAA 0.debian.pool.ntp.org.localdomain"
"9","2.266012","192.168.48.132","192.168.48.1","DNS","55625","82","","53","","0.149223000","Standard query 0x1274 A iecvlist.microsoft.com"
"10","2.375262","192.168.48.128","192.168.48.1","TCP","44742","74","0x0002","53","1","0.109250000","44742  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2103756095 TSecr=0 WS=128"
"11","2.597873","192.168.73.128","192.168.73.1","UDP","20001","788","","10001","","0.222611000","20001  >  10001 Len=746"
"12","2.675128","192.168.48.132","192.168.48.1","DNS","56654","72","","53","","0.077255000","Standard query 0x24d0 A www.bing.com"
"13","2.945143","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.270015000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"14","3.400372","VMware_8b:74:2b","VMware_ff:a5:ef","ARP","","60","","","","0.455229000","Who has 192.168.48.254? Tell 192.168.48.128"
"15","3.400469","VMware_ff:a5:ef","VMware_8b:74:2b","ARP","","42","","","","0.000097000","192.168.48.254 is at 00:50:56:ff:a5:ef"
"16","3.691661","192.168.48.132","192.168.48.1","DNS","56654","72","","53","","0.291192000","Standard query 0x24d0 A www.bing.com"
"17","3.981406","192.168.48.132","192.168.48.1","DNS","54554","89","","53","","0.289745000","Standard query 0xe5f3 A nav.smartscreen.microsoft.com"
"18","4.283727","192.168.48.132","192.168.48.1","DNS","55625","82","","53","","0.302321000","Standard query 0x1274 A iecvlist.microsoft.com"
"19","4.378968","192.168.48.133","192.168.48.1","TCP","58958","74","0x0002","53","0","0.095241000","[TCP Retransmission] 58958  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3381966425 TSecr=0 WS=128"
"20","4.686730","192.168.48.132","192.168.48.1","DNS","56654","72","","53","","0.307762000","Standard query 0x24d0 A www.bing.com"
"21","6.528413","192.168.48.132","192.168.48.133","TCP","49675","66","0x0002","80","2","1.841683000","49675  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"22","6.528772","192.168.48.133","192.168.48.132","TCP","80","66","0x0012","49675","2","0.000359000","80  >  49675 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"23","6.528968","192.168.48.132","192.168.48.133","TCP","49675","54","0x0010","80","2","0.000196000","49675  >  80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"24","6.529271","192.168.48.132","192.168.48.133","HTTP","49675","420","0x0018","80","2","0.000303000","GET / HTTP/1.1 "
"25","6.529567","192.168.48.133","192.168.48.132","TCP","80","60","0x0010","49675","2","0.000296000","80  >  49675 [ACK] Seq=1 Ack=367 Win=64128 Len=0"
"26","6.538933","192.168.48.133","192.168.48.132","TCP","80","1514","0x0010","49675","2","0.009366000","80  >  49675 [ACK] Seq=1 Ack=367 Win=64128 Len=1460 [TCP PDU reassembled in 28]"
"27","6.539164","192.168.48.133","192.168.48.132","TCP","80","1514","0x0010","49675","2","0.000231000","80  >  49675 [ACK] Seq=1461 Ack=367 Win=64128 Len=1460 [TCP PDU reassembled in 28]"
"28","6.539250","192.168.48.133","192.168.48.132","HTTP","80","611","0x0018","49675","2","0.000086000","HTTP/1.1 200 OK  (text/html)"
