"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"1","0.000000","192.168.48.130","192.168.48.1","DNS","36048","93","","53","","","Standard query 0x4480 A 0.debian.pool.ntp.org.localdomain"
"2","0.000171","192.168.48.130","192.168.48.1","DNS","36048","93","","53","","0.000171000","Standard query 0x1884 AAAA 0.debian.pool.ntp.org.localdomain"
"3","2.093049","192.168.48.133","192.168.48.1","TCP","58880","74","0x0002","53","0","2.092878000","58880  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387486553 TSecr=0 WS=128"
"4","4.943042","192.168.48.133","192.168.48.1","TCP","39316","74","0x0002","53","1","2.849993000","39316  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387489403 TSecr=0 WS=128"
"5","5.005582","192.168.48.130","192.168.48.1","DNS","36048","93","","53","","0.062540000","Standard query 0x4480 A 0.debian.pool.ntp.org.localdomain"
"6","5.005668","192.168.48.130","192.168.48.1","DNS","36048","93","","53","","0.000086000","Standard query 0x1884 AAAA 0.debian.pool.ntp.org.localdomain"
"7","5.964790","192.168.48.133","192.168.48.1","TCP","39316","74","0x0002","53","1","0.959122000","[TCP Retransmission] 39316  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387490425 TSecr=0 WS=128"
"8","7.834008","192.168.73.128","192.168.73.1","UDP","20000","690","","10000","","1.869218000","20000  >  10000 Len=648"
"9","7.836487","192.168.73.128","192.168.73.1","UDP","20001","690","","10001","","0.002479000","20001  >  10001 Len=648"
"10","7.866268","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.029781000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"11","7.870068","192.168.73.128","192.168.73.1","UDP","20000","690","","10000","","0.003800000","20000  >  10000 Len=648"
"12","7.891729","192.168.73.128","192.168.73.1","UDP","20000","690","","10000","","0.021661000","20000  >  10000 Len=648"
"13","7.981149","192.168.48.133","192.168.48.1","TCP","39316","74","0x0002","53","1","0.089420000","[TCP Retransmission] 39316  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387492441 TSecr=0 WS=128"
"14","10.011114","192.168.48.130","192.168.48.1","DNS","49062","81","","53","","2.029965000","Standard query 0x77a6 A 1.debian.pool.ntp.org"
"15","10.011244","192.168.48.130","192.168.48.1","DNS","49062","81","","53","","0.000130000","Standard query 0x77a9 AAAA 1.debian.pool.ntp.org"
"16","12.076988","192.168.48.133","192.168.48.1","TCP","39316","74","0x0002","53","1","2.065744000","[TCP Retransmission] 39316  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387496537 TSecr=0 WS=128"
"17","14.953016","192.168.48.133","192.168.48.1","TCP","33178","74","0x0002","53","2","2.876028000","33178  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387499413 TSecr=0 WS=128"
"18","15.016571","192.168.48.130","192.168.48.1","DNS","49062","81","","53","","0.063555000","Standard query 0x77a6 A 1.debian.pool.ntp.org"
"19","15.016696","192.168.48.130","192.168.48.1","DNS","49062","81","","53","","0.000125000","Standard query 0x77a9 AAAA 1.debian.pool.ntp.org"
"20","15.678247","192.168.48.133","192.168.48.1","ICMP","","74","","","","0.661551000","Echo (ping) reply    id=0x0001, seq=159/40704, ttl=64"
"21","15.980682","192.168.48.133","192.168.48.1","TCP","33178","74","0x0002","53","2","0.302435000","[TCP Retransmission] 33178  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387500441 TSecr=0 WS=128"
"22","16.681735","192.168.48.133","192.168.48.1","ICMP","","74","","","","0.701053000","Echo (ping) reply    id=0x0001, seq=160/40960, ttl=64"
"23","17.196954","VMware_2f:25:17","VMware_c0:00:02","ARP","","60","","","","0.515219000","Who has 192.168.48.1? Tell 192.168.48.133"
"24","17.686290","192.168.48.133","192.168.48.1","ICMP","","74","","","","0.489336000","Echo (ping) reply    id=0x0001, seq=161/41216, ttl=64"
"25","17.996492","192.168.48.133","192.168.48.1","TCP","33178","74","0x0002","53","2","0.310202000","[TCP Retransmission] 33178  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387502457 TSecr=0 WS=128"
"26","18.500730","192.168.73.128","192.168.73.1","UDP","20000","662","","10000","","0.504238000","20000  >  10000 Len=620"
"27","18.502999","192.168.73.128","192.168.73.1","UDP","20001","662","","10001","","0.002269000","20001  >  10001 Len=620"
"28","18.518374","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.015375000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"29","18.521727","192.168.73.128","192.168.73.1","UDP","20001","662","","10001","","0.003353000","20001  >  10001 Len=620"
"30","18.693470","192.168.48.133","192.168.48.1","ICMP","","74","","","","0.171743000","Echo (ping) reply    id=0x0001, seq=162/41472, ttl=64"
"31","18.759793","192.168.73.128","192.168.73.1","UDP","20001","1040","","10001","","0.066323000","20001  >  10001 Len=998"
"32","20.022417","192.168.48.130","192.168.48.1","DNS","33617","93","","53","","1.262624000","Standard query 0x76ff A 1.debian.pool.ntp.org.localdomain"
"33","20.022603","192.168.48.130","192.168.48.1","DNS","33617","93","","53","","0.000186000","Standard query 0x11e5 AAAA 1.debian.pool.ntp.org.localdomain"
"34","20.284768","VMware_2f:25:17","VMware_c0:00:02","ARP","","60","","","","0.262165000","192.168.48.133 is at 00:0c:29:2f:25:17"
"35","22.060430","192.168.48.133","192.168.48.1","TCP","33178","74","0x0002","53","2","1.775662000","[TCP Retransmission] 33178  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387506521 TSecr=0 WS=128"
"36","24.958695","192.168.48.133","192.168.48.1","TCP","46768","74","0x0002","53","3","2.898265000","46768  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387509419 TSecr=0 WS=128"
"37","24.986541","192.168.73.128","192.168.73.1","UDP","20000","620","","10000","","0.027846000","20000  >  10000 Len=578"
"38","24.989123","192.168.73.128","192.168.73.1","UDP","20001","603","","10001","","0.002582000","20001  >  10001 Len=561"
"39","24.994081","192.168.73.128","192.168.73.1","UDP","20000","267","","10000","","0.004958000","20000  >  10000 Len=225"
"40","24.996369","192.168.73.128","192.168.73.1","UDP","20001","267","","10001","","0.002288000","20001  >  10001 Len=225"
"41","25.003232","192.168.73.128","192.168.73.1","UDP","20000","267","","10000","","0.006863000","20000  >  10000 Len=225"
"42","25.005513","192.168.73.128","192.168.73.1","UDP","20001","267","","10001","","0.002281000","20001  >  10001 Len=225"
"43","25.010500","192.168.73.128","192.168.73.1","UDP","20000","267","","10000","","0.004987000","20000  >  10000 Len=225"
"44","25.027874","192.168.48.130","192.168.48.1","DNS","33617","93","","53","","0.017374000","Standard query 0x76ff A 1.debian.pool.ntp.org.localdomain"
"45","25.027973","192.168.48.130","192.168.48.1","DNS","33617","93","","53","","0.000099000","Standard query 0x11e5 AAAA 1.debian.pool.ntp.org.localdomain"
"46","25.964591","192.168.48.133","192.168.48.1","TCP","46768","74","0x0002","53","3","0.936618000","[TCP Retransmission] 46768  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387510425 TSecr=0 WS=128"
"47","27.980428","192.168.48.133","192.168.48.1","TCP","46768","74","0x0002","53","3","2.015837000","[TCP Retransmission] 46768  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3387512441 TSecr=0 WS=128"
"48","28.393166","192.168.73.128","192.168.73.1","UDP","20001","519","","10001","","0.412738000","20001  >  10001 Len=477"
"49","28.395840","192.168.73.128","192.168.73.1","UDP","20000","578","","10000","","0.002674000","20000  >  10000 Len=536"
"50","28.401607","192.168.73.128","192.168.73.1","UDP","20001","578","","10001","","0.005767000","20001  >  10001 Len=536"
"51","28.404410","192.168.73.128","192.168.73.1","UDP","20000","578","","10000","","0.002803000","20000  >  10000 Len=536"
"52","28.410025","192.168.73.128","192.168.73.1","UDP","20001","578","","10001","","0.005615000","20001  >  10001 Len=536"
"53","28.412754","192.168.73.128","192.168.73.1","UDP","20000","578","","10000","","0.002729000","20000  >  10000 Len=536"
"54","28.420653","192.168.73.128","192.168.73.1","UDP","20001","578","","10001","","0.007899000","20001  >  10001 Len=536"
"55","28.423483","192.168.73.128","192.168.73.1","UDP","20000","578","","10000","","0.002830000","20000  >  10000 Len=536"
"56","28.429470","192.168.73.128","192.168.73.1","UDP","20001","368","","10001","","0.005987000","20001  >  10001 Len=326"
"57","28.432214","192.168.73.128","192.168.73.1","UDP","20001","368","","10001","","0.002744000","20001  >  10001 Len=326"
"58","28.437860","192.168.73.128","192.168.73.1","UDP","20000","368","","10000","","0.005646000","20000  >  10000 Len=326"
"59","28.440565","192.168.73.128","192.168.73.1","UDP","20000","368","","10000","","0.002705000","20000  >  10000 Len=326"
"60","28.446825","192.168.73.128","192.168.73.1","UDP","20001","368","","10001","","0.006260000","20001  >  10001 Len=326"
"61","28.449595","192.168.73.128","192.168.73.1","UDP","20000","368","","10000","","0.002770000","20000  >  10000 Len=326"
"62","28.453453","192.168.73.128","192.168.73.1","UDP","20001","368","","10001","","0.003858000","20001  >  10001 Len=326"
