"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"1","0.000000","192.168.48.133","192.168.48.1","TCP","41660","74","0x0002","53","0","","41660  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386339353 TSecr=0 WS=128"
"2","2.015844","192.168.48.133","192.168.48.1","TCP","41660","74","0x0002","53","0","2.015844000","[TCP Retransmission] 41660  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3386341369 TSecr=0 WS=128"
"3","3.047318","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","1.031474000","20000  >  10000 Len=270"
"4","3.049607","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.002289000","20000  >  10000 Len=270"
"5","3.054350","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.004743000","20001  >  10001 Len=270"
"6","3.057434","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.003084000","20001  >  10001 Len=270"
"7","3.062213","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.004779000","20000  >  10000 Len=270"
"8","3.064718","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.002505000","20000  >  10000 Len=270"
"9","3.069818","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.005100000","20001  >  10001 Len=270"
"10","3.071889","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.002071000","20000  >  10000 Len=270"
"11","3.075515","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.003626000","20001  >  10001 Len=270"
"12","3.079325","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.003810000","20000  >  10000 Len=270"
"13","3.084482","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.005157000","20001  >  10001 Len=270"
"14","3.086944","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.002462000","20000  >  10000 Len=270"
"15","3.091856","192.168.73.128","192.168.73.1","UDP","20001","312","","10001","","0.004912000","20001  >  10001 Len=270"
"16","3.094637","192.168.73.128","192.168.73.1","UDP","20000","312","","10000","","0.002781000","20000  >  10000 Len=270"
"17","3.099216","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.004579000","20001  >  10001 Len=309"
"18","3.101783","192.168.73.128","192.168.73.1","UDP","20000","351","","10000","","0.002567000","20000  >  10000 Len=309"
"19","3.106503","192.168.73.128","192.168.73.1","UDP","20001","351","","10001","","0.004720000","20001  >  10001 Len=309"
